%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,
1.58802269692434E+018,152.385821395,1128.17866751,-2.1216615064,-0.0035455498,-1.10013968847E-05,-0.5082938929,4.9981056
1.5880226969721E+018,152.385952163,1128.17954209,-2.1216590151,-0.0027308919,0.0002706175,-0.5461738012,5.045869568
1.58802269702352E+018,152.386030684,1128.18044348,-2.1216557411,-0.0012921344,0.0003127153,-0.5950894078,5.097288192
1.58802269707574E+018,152.386071557,1128.18089615,-2.1216537488,-0.0011412454,0.0003525941,-0.6134588233,5.14950912
1.58802269712444E+018,152.386624765,1128.18173388,-2.1216519551,0.0012652843,-0.0004526016,-0.6469429524,5.198214656
1.58802269717742E+018,152.386938074,1128.18235931,-2.1216555987,0.0030227295,-0.000525499,-0.6583456876,5.251188736
1.58802269722486E+018,152.387629197,1128.18293171,-2.1216579553,0.0056265435,-0.0011619327,-0.6714340451,5.298627072
1.58802269727258E+018,152.388012507,1128.18327504,-2.1216629178,0.0076150794,-0.0010167907,-0.6930656929,5.34634624
1.58802269732461E+018,152.388219245,1128.18341095,-2.1216656209,0.0095934505,-0.0007640911,-0.705652971,5.398376448
1.58802269737757E+018,152.388332524,1128.18363824,-2.1216646715,0.0105846133,-0.0005628001,-0.7148819639,5.451341568
1.58802269742662E+018,152.388913194,1128.18376729,-2.1216628134,0.0133538915,-0.0010320191,-0.7131428296,5.500391168
1.58802269747377E+018,152.389227994,1128.18401469,-2.1216644135,0.0144654365,-0.0008410695,-0.7071985333,5.54754432
1.58802269752773E+018,152.389393222,1128.18411822,-2.1216652764,0.0145782935,-0.0005653577,-0.6954911994,5.60149632
1.58802269757634E+018,152.38999857,1128.18403542,-2.121662999,0.0136623245,-0.0009655077,-0.6790751819,5.650110976
1.58802269763026E+018,152.390323814,1128.18386157,-2.1216641244,0.0122356131,-0.0006991099,-0.6587627838,5.70403072
1.5880226976808E+018,152.391018415,1128.18361649,-2.1216633315,0.0096811493,-0.000935699,-0.6174340679,5.754573568
1.58802269772544E+018,152.391391017,1128.18320779,-2.1216645051,0.0075867248,-0.0005471046,-0.5828055601,5.79920896
1.58802269777067E+018,152.391579136,1128.18251216,-2.1216631888,0.0050215318,-0.0001372246,-0.5495836015,5.8444352
1.58802269782034E+018,152.39219412,1128.18190753,-2.1216602958,0.0001757778,-0.000378611,-0.4925213513,5.89410944
1.58802269787802E+018,152.392521039,1128.18122092,-2.1216603766,-0.0037718418,-3.51810979378E-05,-0.4469896742,5.95178624
1.58802269792256E+018,152.392683924,1128.18055769,-2.1216586889,-0.0071601271,0.0003240468,-0.4046964391,5.996329472
1.58802269797217E+018,152.392755055,1128.17992851,-2.1216558706,-0.0102648307,0.0005776633,-0.362247801,6.045937664
1.5880226980208E+018,152.393303643,1128.17931956,-2.121652981,-0.0151349761,0.000176214,-0.2897633395,6.094573824
1.58802269807217E+018,152.393595795,1128.17854629,-2.1216538953,-0.0184699168,0.000389343,-0.2326330961,6.145941248
1.58802269812028E+018,152.393739433,1128.17777148,-2.1216532941,-0.0203752465,0.0006319662,-0.1810005137,6.194053888
1.58802269817312E+018,152.394331668,1128.177024,-2.1216516025,-0.0217630443,0.0001736818,-0.1301808485,6.246885376
1.58802269822264E+018,152.394648376,1128.17629853,-2.1216533582,-0.0229728764,0.0003342676,-0.0465335052,6.296410624
1.58802269827176E+018,152.394808336,1128.17539096,-2.1216533626,-0.0234408482,0.0005317872,0.0180122364,6.345526528
1.58802269832039E+018,152.395409366,1128.17425673,-2.1216521326,-0.023441979,0.000020913,0.0757328399,6.394155264
1.58802269837204E+018,152.395732556,1128.17327222,-2.1216542977,-0.0221866023,0.0001083195,0.1655461038,6.445809408
1.58802269842185E+018,152.395898808,1128.17218075,-2.1216548304,-0.0208510999,0.0002594684,0.2339368561,6.495619584
