%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,
1.58764369146502E+018,152.398090535,1128.09462208,-2.1216724441,-0.0450990929,-0.0003093431,0.4898516714,8.798288896
1.58764369151417E+018,152.398086809,1128.09429123,-2.1216738248,-0.0390467118,-0.000314445,0.5070662317,8.84743936
1.58764369156332E+018,152.398091733,1128.09399268,-2.1216741201,-0.0323099488,-0.0001902156,0.5223938722,8.896585472
1.58764369161548E+018,152.398630168,1128.09372143,-2.1216730809,-0.0213123858,-0.000565499,0.5444795126,8.948750336
1.58764369166527E+018,152.39893938,1128.0934208,-2.1216743194,-0.013146696,-0.0003082222,0.5600516492,8.998537216
1.58764369171527E+018,152.399114457,1128.09291171,-2.1216732732,-0.006517028,-7.05915188981E-06,0.5722491258,9.048538624
1.58764369176476E+018,152.399208665,1128.09254444,-2.1216707633,0.0032201597,0.000116809,0.5862351291,9.098026496
1.58764369181729E+018,152.399254258,1128.09224038,-2.1216685702,0.0105846297,0.0001157904,0.5945723574,9.15056128
1.58764369186371E+018,152.399270141,1128.09200959,-2.1216673359,0.0169196367,2.09044447723E-05,0.5997534425,9.19697792
1.5876436919163E+018,152.399268267,1128.09184216,-2.1216672297,0.0225578478,-0.0001279786,0.6028049226,9.24957056
1.58764369196451E+018,152.399257114,1128.09172167,-2.1216680781,0.0314109163,-0.0003690527,0.6035467302,9.29778048
1.5876436920149E+018,152.399241871,1128.09163643,-2.1216700029,0.0374007945,-0.0005142078,0.602486963,9.3481664
1.58764369206402E+018,152.399226058,1128.09158604,-2.1216719625,0.0421549899,-0.0005901565,0.6000852728,9.39729408
1.58764369211458E+018,152.399211297,1128.09156626,-2.1216735283,0.046023498,-0.000604127,0.5966293918,9.447847424
1.58764369216498E+018,152.399728037,1128.09157187,-2.1216745153,0.0512694136,-0.0010933074,0.5889185959,9.498247936
1.58764369221588E+018,152.400020188,1128.09161705,-2.1216780493,0.0539165893,-0.0008152273,0.5823021061,9.549147136
1.58764369226481E+018,152.40018598,1128.09168621,-2.1216785647,0.0547819264,-0.000378524,0.5757836456,9.598080256
1.58764369231438E+018,152.400280599,1128.09177558,-2.1216764701,0.0540282018,4.37365408149E-05,0.5689348917,9.647652096
1.5876436923631E+018,152.400335525,1128.09188626,-2.1216730425,0.0503041846,0.0005555051,0.5559066902,9.696367872
1.58764369241755E+018,152.400368204,1128.09205526,-2.1216683859,0.0457870361,0.0008916926,0.5446993009,9.75081728
1.58764369246362E+018,152.400388635,1128.09225085,-2.1216640831,0.0402538094,0.0011247135,0.5332715574,9.796893952
1.58764369251344E+018,152.400399697,1128.09246911,-2.1216605588,0.0291770332,0.0012629013,0.5114368943,9.846710016
1.58764369256456E+018,152.400403429,1128.09277213,-2.1216579736,0.019825749,0.0012590874,0.4926123174,9.897826816
1.58764369261459E+018,152.400401868,1128.09333819,-2.1216566494,0.0113927509,0.0011577412,0.4739094123,9.947863552
1.58764369266437E+018,152.400396093,1128.09380904,-2.1216565756,0.003155648,0.0009856903,0.4544242743,9.997636096
1.58764369271359E+018,152.400387756,1128.09446353,-2.1216574496,-0.0087706456,0.0006219435,0.4200924692,10.04685696
1.58764369276501E+018,152.400904545,1128.09507356,-2.1216598596,-0.0171698442,-0.0003033697,0.3932759074,10.098281984
1.58764369281801E+018,152.401191508,1128.09584018,-2.1216663438,-0.023570558,-0.0004648739,0.3693007091,10.151281664
1.58764369286374E+018,152.401348282,1128.09643823,-2.1216706185,-0.0293851816,-0.0004831269,0.3463563623,10.197007616
1.58764369291457E+018,152.401427151,1128.09715501,-2.121672604,-0.0355501846,-0.0006089695,0.3109001481,10.247837184
1.58764369296499E+018,152.401463994,1128.09802222,-2.1216738799,-0.0395142258,-0.0006823897,0.284225248,10.298258432
1.58764369301351E+018,152.401476227,1128.09867293,-2.1216744978,-0.0419681762,-0.0007177672,0.2613312596,10.346784768
1.5876436930656E+018,152.401475727,1128.09940848,-2.1216745336,-0.0433801245,-0.0007084578,0.2275393477,10.39886592
1.58764369311338E+018,152.401468266,1128.10025234,-2.1216740645,-0.0429896839,-0.000658802,0.2025813163,10.446647808
1.58764369316465E+018,152.401457486,1128.10085998,-2.1216732174,-0.0416469973,-0.0005776055,0.1813409064,10.497920256
1.58764369321494E+018,152.401974407,1128.10154238,-2.121672008,-0.0389736415,-0.0011025351,0.1618280337,10.548214016
1.58764369326472E+018,152.402260922,1128.10224743,-2.1216743235,-0.0323192993,-0.0008407723,0.1327041944,10.597989376
1.5876436933137E+018,152.402414571,1128.10301199,-2.1216741262,-0.0259067753,-0.0005189969,0.1116321429,10.646971136
1.58764369336489E+018,152.402490584,1128.1035209,-2.1216722474,-0.019480322,-0.0002886539,0.0943445489,10.698161152
1.58764369341774E+018,152.402521732,1128.10409724,-2.1216699507,-0.0123216221,-0.0001604677,0.0793474052,10.751009792
1.58764369346499E+018,152.40252803,1128.10446582,-2.1216680995,-0.0004662932,-8.99195257483E-05,0.0596451005,10.798255872
1.5876436935201E+018,152.402519131,1128.10461796,-2.121667446,0.0077206921,-6.46736834765E-05,0.0471807287,10.853371136
1.58764369356566E+018,152.402504775,1128.10506001,-2.121666804,0.0153709864,-5.68057910962E-05,0.0434061776,10.898930176
1.58764369361676E+018,152.40248833,1128.10528043,-2.1216667826,0.022310116,-4.37238300757E-05,0.0379826237,10.950028032
1.58764369366877E+018,152.402472187,1128.10539301,-2.1216670603,0.030511825,1.98697318609E-05,0.0343102912,11.00204416
1.58764369371802E+018,152.402458047,1128.10567515,-2.1216672064,0.0365541524,7.98023373308E-05,0.0304663771,11.051289856
1.5876436937769E+018,152.402445554,1128.1058232,-2.1216673406,0.0385412744,8.71558582347E-05,0.0292375088,11.110173952
1.58764369382148E+018,152.402435073,1128.1058799,-2.1216677125,0.0397150943,0.0001183431,0.0314325405,11.154752256
1.58764369387039E+018,152.402425082,1128.10587834,-2.1216680906,0.0416355202,0.0001612799,0.0362961797,11.203660032
1.58764369391899E+018,152.402415033,1128.10582726,-2.1216683319,0.0431340612,0.0001927914,0.0492241243,11.252258816
1.58764369396893E+018,152.402404237,1128.10570355,-2.1216684821,0.0429390303,0.0001845072,0.0606887509,11.302203904
1.58764369401978E+018,152.402392692,1128.10555302,-2.1216687514,0.0418566668,0.0001492043,0.0721542219,11.353046528
1.58764369408112E+018,152.402377544,1128.10563833,-2.1216693416,0.0413925228,0.0001240131,0.0927505499,11.414390272
