%time,field.throttle_bow,field.position_bow,field.lin_act_bow,
1.58802275504116E+018,-94.3992157002,90,2,62.987598336
1.58802275532413E+018,-94.3992157002,90,2,63.270565632
1.58802275554012E+018,-49.2983825795,90,2,63.486559488
1.58802275581359E+018,-94.3992157002,90,2,63.760034048
1.58802275604585E+018,-49.2983825795,90,2,63.992294912
1.58802275631679E+018,-94.3992157002,90,2,64.263232
1.5880227565392E+018,-49.2983825795,90,2,64.4856448
1.58802275681344E+018,-94.3992157002,90,2,64.759875328
1.58802275704017E+018,-49.2983825795,90,2,64.986610176
1.58802275731243E+018,-94.3992157002,90,2,65.258868736
1.58802275753968E+018,-49.2983825795,90,2,65.486119168
1.58802275781308E+018,-94.3992157002,90,2,65.75951872
1.5880227580374E+018,-49.2983825795,90,2,65.983836928
1.58802275831349E+018,-94.3992157002,90,2,66.25993216
1.58802275853875E+018,-49.2983825795,90,2,66.485191936
1.58802275881522E+018,-94.3992157002,90,2,66.761665024
1.58802275904254E+018,-49.2983825795,90,2,66.988978432
1.58802275931692E+018,-94.3992157002,90,2,67.263360512
1.58802275955547E+018,-49.2983825795,90,2,67.501912832
1.58802275980917E+018,-94.3992157002,90,2,67.755608576
1.58802276003772E+018,-49.2983825795,90,2,67.984164352
1.58802276032608E+018,-94.3992157002,90,2,68.272520704
1.58802276064493E+018,-94.3992157002,90,2,68.591368448
1.58802276086948E+018,-79.7788573072,90,2,68.815922688
1.58802276111631E+018,-94.3992157002,90,2,69.062752512
1.58802276135313E+018,-94.3992157002,90,2,69.29956864
1.58802276160993E+018,-94.3992157002,90,2,69.556374272
1.58802276189291E+018,-94.3992157002,90,2,69.839345152
1.58802276212541E+018,-94.3992157002,90,2,70.071845376
1.58802276240776E+018,-94.3992157002,90,2,70.354203648
1.58802276262703E+018,-94.3992157002,90,2,70.573467648
1.5880227628519E+018,-94.3992157002,90,2,70.798339072
1.58802276311826E+018,-94.3992157002,90,2,71.064695552
1.58802276335163E+018,-94.3992157002,90,2,71.298066432
1.58802276363149E+018,-94.3992157002,90,2,71.577926144
1.58802276390379E+018,-94.3992157002,90,2,71.85023232
1.5880227641122E+018,-94.3992157002,90,2,72.058635776
1.58802276440609E+018,-94.3992157002,90,2,72.352525824
1.58802276461832E+018,-94.3992157002,90,2,72.564760064
1.58802276490781E+018,-94.3992157002,90,2,72.85425408
1.58802276513869E+018,-94.3992157002,90,2,73.085133312
1.58802276541378E+018,-94.3992157002,90,2,73.360215296
1.58802276563603E+018,-94.3992157002,90,2,73.58246656
1.58802276591428E+018,-94.3992157002,90,2,73.860721152
1.58802276622212E+018,-94.3992157002,90,2,74.168557312
1.58802276644363E+018,-94.3992157002,90,2,74.39006976
1.58802276665727E+018,-94.3992157002,90,2,74.603707648
1.58802276692353E+018,-94.3992157002,90,2,74.869972736
1.58802276714233E+018,-94.3992157002,90,2,75.088765952
1.58802276742094E+018,-94.3992157002,90,2,75.367383808
1.58802276765404E+018,-94.3992157002,90,2,75.600479232
1.58802276791174E+018,-94.3992157002,90,2,75.858180352
1.58802276811826E+018,-94.3992157002,90,2,76.064698112
1.58802276836528E+018,-94.3992157002,90,2,76.311724544
1.58802276861536E+018,-90.6784643406,90,2,76.561801472
1.58802276884324E+018,-94.3992157002,90,2,76.789684224
1.58802276911647E+018,-80.5673374081,90,2,77.062905856
1.5880227693435E+018,-94.3992157002,90,2,77.289943552
1.58802276962028E+018,-73.3797271184,90,2,77.566718976
1.58802276984091E+018,-94.3992157002,90,2,77.78734848
1.5880227701185E+018,-63.1693810814,90,2,78.064935424
1.58802277042562E+018,-51.8802212061,90,2,78.372064512
1.58802277071818E+018,-60.2947684536,90,2,78.66462464
1.58802277092669E+018,-94.3992157002,90,2,78.873131008
1.58802277118261E+018,-94.3992157002,90,2,79.129054208
1.58802277140409E+018,-81.6815741344,90,2,79.350531584
1.58802277164788E+018,-94.3992157002,90,2,79.59432448
1.58802277187301E+018,-94.3992157002,90,2,79.819454464
1.58802277212253E+018,-90.0367359139,90,2,80.068972032
1.58802277241262E+018,-88.2034626194,90,2,80.359062272
1.58802277265535E+018,-94.3992157002,90,2,80.60178688
1.58802277291978E+018,-87.9976544579,90,2,80.866218752
1.58802277321604E+018,-85.8242408176,90,2,81.162478336
1.5880227734721E+018,-94.3992157002,90,2,81.418538752
1.58802277373467E+018,-79.9760113442,90,2,81.68110848
1.58802277396046E+018,-94.3992157002,90,2,81.906903296
