%time,field.star_effort,field.port_effort,
1.58764319696002E+018,-47.2723503182,-47.1445185281,19.966710272
1.58764319698377E+018,-52.2646433884,-52.2771305919,19.990464256
1.58764319725245E+018,-45.0003565193,-44.8296699248,20.259139328
1.58764319727677E+018,-51.2025754609,-51.1997391248,20.283460608
1.58764319756871E+018,-43.0538951233,-42.8466016135,20.575398912
1.58764319759292E+018,-50.0816721352,-50.0646312245,20.59961344
1.58764319784857E+018,-39.9178795863,-39.6524147453,20.855259392
1.58764319788719E+018,-46.4952213673,-46.455309877,20.893879808
1.58764319817779E+018,-36.9483738329,-36.6287634144,21.18447872
1.58764319822679E+018,-42.5105526915,-42.446326659,21.23347968
1.58764319855436E+018,-32.8542440785,-32.4552326512,21.561047552
1.58764319858377E+018,-35.9489284513,-35.8441762605,21.590456832
1.58764319885591E+018,-30.556874466,-30.1087831465,21.862599936
1.58764319888075E+018,-32.3250889908,-32.1895240226,21.88743936
1.58764319921507E+018,-24.0014590114,-23.800102128,22.221756928
1.58764319923188E+018,-26.7335053256,-26.2150455224,22.238568448
1.58764319947542E+018,-14.7066573307,-14.3849771945,22.482106112
1.58764319974853E+018,-19.7013730312,-19.0907744779,22.75521792
1.58764319977531E+018,-9.8881660806,-9.066150979,22.781997056
1.58764320006243E+018,-17.8429670078,-17.4278856921,23.069120512
1.58764320009786E+018,-7.5299920529,-6.4752721789,23.104548352
1.58764320039227E+018,-15.5785579788,26.9137608965,23.398958848
1.5876432006896E+018,-10.9143682625,-9.756186447,23.69628928
1.58764320074017E+018,-20.0001644909,41.7517622286,23.746857984
1.58764320102471E+018,-10.8187153444,13.6698255616,24.031395072
1.58764320134483E+018,-9.3421960289,18.6833301865,24.351524608
1.58764320149736E+018,-39.1183277813,45.1521426152,24.504050176
1.58764320175322E+018,-36.7892750994,59.5854157786,24.759909632
1.5876432021072E+018,8.8114102576,41.2137103603,25.113888256
1.58764320212388E+018,-44.1474668596,57.8313485728,25.130566912
1.58764320236146E+018,-48.1709188763,53.707285909,25.368145408
1.58764320264913E+018,-23.6523206492,32.1344162521,25.655821824
1.58764320269662E+018,-50.7943774764,51.381117703,25.703312896
1.58764320295112E+018,-29.4638305625,28.6899289123,25.95780608
1.58764320298811E+018,-51.7796894832,51.4635877016,25.994801408
1.58764320326397E+018,-30.3163851511,29.3249469967,26.270656256
1.58764320328578E+018,-52.0799842024,51.7641916389,26.292466176
1.58764320355944E+018,-30.2094062946,29.2579475212,26.566131456
1.58764320358983E+018,-51.3523966004,51.0316004584,26.596521472
1.58764320385812E+018,-32.1592798018,31.3296091371,26.864809984
1.58764320387649E+018,-53.225297512,52.9256516981,26.883182592
1.58764320418225E+018,-32.8115152523,32.0797339888,27.188940288
1.58764320419811E+018,-53.5539751225,53.2748231831,27.204801024
1.58764320444915E+018,-34.1148425397,33.5030679588,27.455841792
1.58764320448813E+018,-54.6909286486,54.4484771268,27.494817536
1.5876432047647E+018,-34.4187015462,33.9359245428,27.771385344
1.5876432047809E+018,-54.6987977163,54.4887868359,27.787590144
1.58764320504507E+018,-35.3941796603,35.0695441194,28.051760128
1.58764320507269E+018,-55.5219558325,55.3606268858,28.079384576
1.58764320536103E+018,-35.7316075084,35.5375035547,28.367715072
1.5876432053911E+018,-55.5951235596,55.4779220256,28.397789184
1.58764320565618E+018,-35.9153317725,35.8137717758,28.662868736
1.58764320569243E+018,-55.4785641331,55.3978001041,28.699116032
1.58764320595824E+018,-36.2766220847,36.2484823846,28.964925952
1.58764320598905E+018,-55.5847744897,55.5377698363,28.995740672
1.5876432062391E+018,-36.4356407616,36.4235335632,29.245792512
1.58764320626833E+018,-55.4403056181,55.413697688,29.275018752
1.58764320658444E+018,-36.3107870264,36.2936525774,29.591134208
1.58764320660804E+018,-54.9628870456,54.949927612,29.6147328
1.5876432068489E+018,-54.4430690507,54.4381234488,29.8555904
1.58764320715859E+018,-35.896077472,35.8125258026,30.165283328
1.58764320718999E+018,-53.8137066709,53.8082422392,30.196679936
1.58764320746889E+018,-35.3089219684,35.1741563391,30.475582464
1.5876432074897E+018,-52.7522169352,52.7431883188,30.496387072
1.58764320776627E+018,-35.0322879345,34.8376200924,30.772961536
1.58764320780385E+018,-52.0916691255,52.0733694286,30.810543872
1.58764320805425E+018,-51.5520279856,51.524318007,31.06094336
1.58764320837405E+018,-34.5203318119,34.1910079155,31.380742912
1.58764320839675E+018,-50.8381187789,50.7989991075,31.403439872
1.58764320869707E+018,-33.9792329038,33.6041297101,31.703762432
1.5876432087206E+018,-49.8355914945,49.7882075999,31.727286784
1.58764320895175E+018,-48.7145350686,48.6485075424,31.958441472
1.58764320926772E+018,-32.7051546657,32.1726658959,32.274407936
1.5876432092876E+018,-47.4460655258,47.3600608985,32.294291968
1.58764320957927E+018,-31.8957259418,31.3070072962,32.585963008
1.58764320961033E+018,-45.9962505466,45.8637568204,32.617019392
1.58764320985751E+018,-44.2645918712,44.1448934473,32.864195584
1.58764321017837E+018,-29.9697974312,29.2662973668,33.185064192
1.58764321020058E+018,-42.486699091,42.3483200425,33.207269632
1.58764321045383E+018,-40.8614385176,40.7087827204,33.460516352
1.58764321075651E+018,-28.0467783822,27.2594360012,33.763200512
1.58764321078475E+018,-38.9598073618,38.787073116,33.791437312
1.58764321105788E+018,-26.6797708366,25.8542519686,34.064568832
1.58764321112E+018,-36.4015691633,36.2077230694,34.126688256
1.58764321135481E+018,-33.6766896605,33.4701022149,34.3614976
1.5876432116559E+018,-23.8455096614,22.9950774718,34.662590208
1.58764321168938E+018,-31.0741692377,30.8452819236,34.696068352
1.58764321197233E+018,-22.1498989311,21.3087999116,34.979017472
1.58764321199443E+018,-27.8073262848,27.5612879124,35.001124352
1.58764321224832E+018,-20.5024805627,19.6801532579,35.255012608
1.58764321227217E+018,-24.6202925163,24.3556987563,35.27886336
1.58764321255224E+018,-18.9249972526,18.1506105366,35.558929408
1.58764321257738E+018,-20.2534389538,19.9610866165,35.584068352
1.58764321282204E+018,-17.287191389,16.6061032705,35.828726272
1.5876432130646E+018,-14.3152922417,14.0116211946,36.071291904
1.58764321334318E+018,-14.7370099515,14.4225418558,36.34987264
1.58764321338855E+018,-10.7479688466,10.4787210977,36.395236608
1.58764321363139E+018,-12.2186719123,12.9123895105,36.63807744
1.58764321394231E+018,-11.2810272003,12.494084646,36.949004032
1.58764321397479E+018,5.4594482035,-6.4888425909,36.981477632
1.58764321426185E+018,-9.7787444713,11.6422758917,37.268540672
1.58764321432142E+018,13.2873265052,-13.1809425164,37.328110336
1.58764321470961E+018,7.1234333974,12.0271613788,37.716301312
1.5876432147303E+018,17.2252373413,-17.0231350482,37.736991232
1.58764321504768E+018,7.7013699024,-3.8335385684,38.054364672
1.58764321507469E+018,20.0156448876,-20.0018522125,38.081381376
1.5876432153272E+018,8.7559339363,-6.3416700991,38.333894144
1.58764321535469E+018,21.9968873895,-22.0265226304,38.361375232
1.58764321562728E+018,8.6165657278,-6.3725642695,38.633966592
1.58764321595491E+018,8.9539559205,-8.4222872197,38.961601536
1.58764321599072E+018,22.6427081501,-22.7421021908,38.997405952
1.58764321623957E+018,9.0614154104,-8.8432039474,39.246260992
1.58764321626424E+018,24.0196363264,-24.1762367259,39.270929408
1.58764321655609E+018,8.8887092535,-8.8924224323,39.562775552
1.58764321657362E+018,23.5675190598,-23.7601016236,39.580308992
1.58764321685067E+018,9.0323577828,-9.0090480309,39.85736448
1.58764321686864E+018,23.1829865668,-23.3936636332,39.875331072
1.58764321715361E+018,8.8986313411,-9.0679365217,40.160297984
1.58764321718066E+018,22.8143255813,-23.0515393861,40.187346944
1.58764321743164E+018,8.1747044388,-8.0810276223,40.438327552
1.5876432178064E+018,7.6497956471,-7.8935167907,40.813085184
1.58764321784299E+018,19.6765974126,-19.9737673836,40.849683712
1.58764321819284E+018,7.9912109353,-8.5647964453,41.1995264
1.58764321823139E+018,21.9141555164,-22.7610304011,41.238082816
1.58764321862091E+018,8.1004683036,-8.5577625915,41.627595264
1.58764321863681E+018,20.0371037952,-20.4020722474,41.643499776
1.58764321894874E+018,8.3987379692,-8.0951453164,41.955427072
1.58764321897724E+018,18.7353798903,-19.0731801237,41.983929088
1.58764321925581E+018,8.2271932047,-7.445568807,42.262497536
1.58764321927714E+018,17.5631693105,-17.8955179236,42.283830272
1.58764321954482E+018,8.1176247051,-6.8903632333,42.551509504
1.58764321956531E+018,16.5115390494,-16.8338604091,42.571998208
1.58764321988187E+018,7.6459767731,-6.1277031246,42.888559872
1.58764321989234E+018,15.2642838835,-15.5930202605,42.899031552
1.58764322018211E+018,7.0808400722,-5.2946577411,43.188798208
1.58764322020091E+018,14.0134539267,-14.3487041793,43.207598336
1.58764322045458E+018,12.8842263771,-13.2344232187,43.461272064
1.58764322085484E+018,6.7727512857,6.8784903079,43.861525504
1.58764322087836E+018,11.0239091488,-11.4174252881,43.885052416
1.58764322121633E+018,5.333982364,7.2457400012,44.223023872
1.58764322122613E+018,9.2522223493,-9.7090260218,44.232822784
1.58764322162104E+018,-6.0578504728,6.8502973371,44.627729152
1.58764322165126E+018,5.6982358777,-6.3742956954,44.657952768
1.58764322197404E+018,-7.0485167084,7.4494589825,44.980731136
1.5876432220346E+018,2.3999689579,-2.9542227527,45.041289472
1.58764322233652E+018,-7.5465695159,8.0342697118,45.343207168
1.58764322237993E+018,-4.6940062009,4.9512797061,45.38662144
1.58764322263002E+018,-8.6658725722,8.5855658958,45.636707328
1.58764322302139E+018,-7.6515575915,7.3575084824,46.028082176
1.5876432230403E+018,-8.8078420048,8.8248502152,46.046992384
1.58764322334746E+018,-8.2760391797,9.19092131,46.354153728
1.58764322338407E+018,-6.5139311793,6.4463342468,46.390757376
